,age,workclass,fnlwgt,education,educational-num,marital-status,race,gender,capital-gain,capital-loss,hours-per-week,native-country,y
30816,20.0,2.0,200967.0,3.0,10.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0
15483,18.0,0.0,201613.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0
12759,47.0,0.0,101825.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,40.0,0.0,1.0
17014,25.0,0.0,332702.0,11.0,11.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0
26838,46.0,0.0,102308.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,56.0,0.0,1.0
43950,17.0,0.0,113301.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0
47724,30.0,5.0,54318.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
45542,42.0,0.0,240255.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0
31178,41.0,0.0,225892.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,48.0,0.0,1.0
28015,65.0,2.0,293385.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
695,21.0,0.0,256504.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
37724,31.0,0.0,325658.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
32587,27.0,0.0,169117.0,1.0,9.0,1.0,0.0,1.0,0.0,1887.0,40.0,0.0,1.0
21939,38.0,0.0,169926.0,2.0,12.0,1.0,1.0,1.0,0.0,1902.0,40.0,0.0,1.0
31882,32.0,0.0,125856.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,60.0,0.0,1.0
1329,33.0,0.0,150324.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
18633,37.0,0.0,82521.0,7.0,13.0,1.0,1.0,0.0,15024.0,0.0,40.0,0.0,1.0
22072,35.0,0.0,212465.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
6769,38.0,6.0,225860.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
13333,33.0,0.0,260560.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
31353,62.0,0.0,113440.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0
2499,29.0,0.0,116531.0,8.0,14.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
29994,26.0,0.0,142914.0,2.0,12.0,1.0,1.0,1.0,0.0,0.0,75.0,0.0,0.0
287,46.0,0.0,157857.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
32968,23.0,0.0,386705.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0
27038,39.0,0.0,230054.0,8.0,14.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0
17166,63.0,2.0,149698.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0
9627,39.0,0.0,215981.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
25965,60.0,1.0,113658.0,3.0,10.0,1.0,1.0,1.0,0.0,0.0,35.0,0.0,0.0
18156,63.0,0.0,174018.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,1.0
34282,36.0,0.0,178815.0,7.0,13.0,0.0,1.0,0.0,8614.0,0.0,40.0,0.0,1.0
38483,20.0,0.0,244406.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
14462,24.0,0.0,142566.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0
46180,42.0,4.0,460214.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
45938,55.0,0.0,184882.0,11.0,11.0,1.0,1.0,0.0,5178.0,0.0,50.0,0.0,1.0
4300,49.0,1.0,371886.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,56.0,0.0,1.0
44111,25.0,0.0,50103.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
37742,43.0,0.0,50197.0,4.0,6.0,4.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
3615,52.0,1.0,181132.0,1.0,9.0,1.0,1.0,0.0,0.0,1887.0,40.0,0.0,1.0
30949,30.0,0.0,185027.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
8899,42.0,0.0,49255.0,8.0,14.0,1.0,1.0,0.0,4386.0,0.0,40.0,0.0,1.0
39251,51.0,4.0,20795.0,1.0,9.0,1.0,1.0,0.0,7688.0,0.0,40.0,0.0,1.0
25280,20.0,0.0,189148.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0
27946,29.0,0.0,196116.0,5.0,15.0,3.0,1.0,1.0,2174.0,0.0,72.0,0.0,0.0
27807,18.0,2.0,28357.0,3.0,10.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0
32013,38.0,3.0,140117.0,3.0,10.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0
8724,29.0,0.0,334032.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
5930,29.0,0.0,87632.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
13437,21.0,0.0,92898.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
3645,50.0,1.0,306985.0,8.0,14.0,1.0,1.0,1.0,0.0,2415.0,50.0,0.0,1.0
2609,21.0,0.0,214956.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0
13404,47.0,0.0,165517.0,8.0,14.0,1.0,1.0,1.0,0.0,0.0,40.0,0.0,1.0
25368,33.0,0.0,165814.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
22000,37.0,0.0,170408.0,11.0,11.0,3.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0
11890,33.0,0.0,241697.0,3.0,10.0,5.0,4.0,0.0,0.0,1602.0,40.0,0.0,0.0
45783,25.0,1.0,476599.0,7.0,13.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
29183,25.0,5.0,183678.0,7.0,13.0,0.0,1.0,1.0,0.0,0.0,50.0,0.0,0.0
46855,45.0,5.0,32186.0,7.0,13.0,4.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
7451,24.0,0.0,195770.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
6171,41.0,1.0,248748.0,7.0,13.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
48434,65.0,0.0,174603.0,10.0,3.0,2.0,1.0,1.0,0.0,0.0,10.0,24.0,0.0
10883,65.0,2.0,180422.0,2.0,12.0,0.0,1.0,0.0,6723.0,0.0,38.0,0.0,0.0
12138,48.0,1.0,169515.0,7.0,13.0,3.0,0.0,1.0,0.0,0.0,43.0,0.0,1.0
2709,31.0,0.0,268282.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,35.0,4.0,0.0
5273,19.0,0.0,144793.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
20168,31.0,2.0,26553.0,7.0,13.0,1.0,1.0,1.0,0.0,0.0,25.0,0.0,1.0
31414,46.0,0.0,241935.0,0.0,7.0,1.0,0.0,0.0,7688.0,0.0,40.0,0.0,1.0
42653,41.0,0.0,176452.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,2.0,0.0
44531,51.0,0.0,313146.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
30430,37.0,0.0,126675.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
15445,24.0,1.0,184975.0,7.0,13.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
13669,60.0,0.0,154589.0,1.0,9.0,1.0,1.0,0.0,3103.0,0.0,35.0,0.0,1.0
44681,25.0,6.0,161007.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
40852,29.0,1.0,177398.0,8.0,14.0,1.0,1.0,1.0,0.0,0.0,40.0,0.0,1.0
5333,58.0,0.0,163150.0,1.0,9.0,2.0,1.0,1.0,0.0,0.0,28.0,0.0,0.0
31054,44.0,0.0,755858.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,70.0,0.0,1.0
46612,62.0,0.0,257277.0,1.0,9.0,2.0,1.0,1.0,0.0,0.0,38.0,0.0,0.0
2550,18.0,0.0,115725.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0
28403,27.0,0.0,347513.0,3.0,10.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
29541,33.0,3.0,334744.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0
23034,61.0,2.0,198542.0,7.0,13.0,3.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
41597,40.0,0.0,321856.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,60.0,0.0,1.0
3467,52.0,0.0,101113.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,66.0,0.0,1.0
16341,30.0,0.0,59496.0,7.0,13.0,1.0,1.0,0.0,2407.0,0.0,40.0,0.0,0.0
7626,53.0,0.0,108836.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
36727,34.0,0.0,114639.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0
36204,28.0,0.0,183151.0,0.0,7.0,1.0,1.0,0.0,7688.0,0.0,40.0,0.0,1.0
41275,52.0,0.0,89041.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
14250,36.0,0.0,139180.0,11.0,11.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
9592,34.0,0.0,247328.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
44476,28.0,0.0,226891.0,3.0,10.0,0.0,2.0,1.0,0.0,0.0,30.0,1.0,0.0
28013,76.0,2.0,312500.0,10.0,3.0,2.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
12992,43.0,0.0,318415.0,3.0,10.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0
20633,28.0,0.0,87239.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0
16430,43.0,2.0,174662.0,3.0,10.0,3.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
21420,40.0,5.0,270324.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
162,22.0,0.0,388885.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0
20516,26.0,5.0,28366.0,7.0,13.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
11596,25.0,0.0,67151.0,7.0,13.0,0.0,1.0,1.0,0.0,0.0,60.0,0.0,0.0
33640,33.0,4.0,117963.0,7.0,13.0,0.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0
25817,52.0,2.0,105428.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0
8317,38.0,0.0,133935.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,41.0,11.0,1.0
42016,30.0,0.0,113364.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,40.0,13.0,0.0
45126,31.0,0.0,272856.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,50.0,21.0,0.0
10915,31.0,0.0,236543.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,40.0,4.0,0.0
43640,38.0,0.0,197113.0,3.0,10.0,3.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0
15716,46.0,4.0,196649.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
37193,42.0,0.0,145175.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
13466,58.0,4.0,26947.0,7.0,13.0,2.0,4.0,1.0,0.0,0.0,40.0,0.0,0.0
46828,18.0,0.0,137646.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0
40820,18.0,0.0,120029.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
46978,24.0,0.0,241752.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
4971,19.0,0.0,176806.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
35261,53.0,0.0,149650.0,1.0,9.0,0.0,1.0,0.0,0.0,2559.0,48.0,0.0,1.0
15096,35.0,0.0,323120.0,2.0,12.0,0.0,1.0,1.0,0.0,0.0,44.0,0.0,1.0
37459,32.0,5.0,481096.0,10.0,3.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0
31693,36.0,0.0,293528.0,11.0,11.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
16038,25.0,0.0,96862.0,1.0,9.0,0.0,1.0,1.0,2174.0,0.0,40.0,0.0,0.0
1376,33.0,1.0,83413.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0
45739,39.0,0.0,167777.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0
23403,38.0,3.0,245090.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,40.0,4.0,0.0
21124,37.0,4.0,289653.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
9636,17.0,2.0,34505.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0
15648,31.0,0.0,185216.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
27816,42.0,3.0,82161.0,4.0,6.0,2.0,1.0,0.0,0.0,0.0,35.0,0.0,0.0
6869,69.0,2.0,214923.0,5.0,15.0,1.0,1.0,0.0,0.0,0.0,35.0,0.0,1.0
24476,38.0,0.0,201328.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0
3241,43.0,0.0,120277.0,7.0,13.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0
2123,40.0,0.0,232820.0,11.0,11.0,3.0,4.0,1.0,0.0,0.0,40.0,0.0,0.0
15948,40.0,0.0,77370.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
7409,22.0,0.0,21154.0,1.0,9.0,0.0,1.0,1.0,0.0,1590.0,32.0,0.0,0.0
395,37.0,0.0,79586.0,1.0,9.0,4.0,2.0,0.0,0.0,0.0,60.0,0.0,0.0
9524,72.0,2.0,144461.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,1.0
33410,36.0,0.0,209629.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
27906,35.0,1.0,102938.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
17347,35.0,0.0,199352.0,5.0,15.0,1.0,1.0,0.0,0.0,1977.0,80.0,0.0,1.0
29606,33.0,0.0,355856.0,2.0,12.0,1.0,2.0,0.0,0.0,0.0,60.0,0.0,0.0
32496,48.0,0.0,39986.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
43636,21.0,5.0,96483.0,3.0,10.0,0.0,2.0,1.0,0.0,0.0,12.0,0.0,0.0
38989,53.0,1.0,283602.0,8.0,14.0,1.0,1.0,1.0,15024.0,0.0,40.0,0.0,1.0
20470,67.0,3.0,141797.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
48340,55.0,0.0,183580.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,38.0,0.0,0.0
36433,52.0,6.0,114758.0,7.0,13.0,1.0,1.0,0.0,15024.0,0.0,50.0,0.0,1.0
1684,23.0,0.0,238179.0,1.0,9.0,0.0,1.0,0.0,0.0,2339.0,45.0,0.0,0.0
29186,37.0,0.0,168941.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
31522,40.0,0.0,220563.0,13.0,8.0,3.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
22799,49.0,0.0,61307.0,6.0,4.0,1.0,3.0,0.0,0.0,0.0,38.0,0.0,0.0
20909,29.0,0.0,250679.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
8901,49.0,0.0,235095.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
9918,64.0,0.0,110110.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
39552,29.0,0.0,326330.0,3.0,10.0,3.0,1.0,1.0,1831.0,0.0,40.0,0.0,0.0
8231,66.0,2.0,52654.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0
32865,26.0,0.0,139116.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0
33996,37.0,0.0,549174.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0
21777,43.0,0.0,266439.0,1.0,9.0,3.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0
40447,46.0,0.0,273575.0,7.0,13.0,1.0,1.0,0.0,15024.0,0.0,40.0,0.0,1.0
17669,19.0,2.0,194095.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
25091,37.0,4.0,408229.0,1.0,9.0,3.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
44444,24.0,0.0,417668.0,7.0,13.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,0.0
2270,28.0,1.0,205903.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,45.0,0.0,1.0
46165,30.0,0.0,177304.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,44.0,0.0,0.0
45486,23.0,0.0,314894.0,1.0,9.0,0.0,1.0,1.0,0.0,0.0,45.0,0.0,0.0
26671,64.0,0.0,110150.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
30107,26.0,0.0,56929.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0
15229,36.0,0.0,172706.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
4426,30.0,0.0,408328.0,15.0,1.0,5.0,1.0,0.0,0.0,0.0,40.0,4.0,0.0
18148,36.0,4.0,128884.0,1.0,9.0,3.0,1.0,1.0,0.0,0.0,48.0,0.0,0.0
22307,29.0,0.0,297544.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
39947,35.0,1.0,226311.0,3.0,10.0,3.0,1.0,1.0,0.0,0.0,38.0,0.0,0.0
18178,26.0,0.0,157249.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
21670,42.0,3.0,207392.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0
31929,26.0,3.0,93806.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,55.0,0.0,0.0
9271,52.0,0.0,94448.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
18662,17.0,0.0,317681.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0
12094,53.0,0.0,157229.0,2.0,12.0,1.0,2.0,1.0,0.0,0.0,40.0,17.0,0.0
18085,41.0,0.0,107306.0,1.0,9.0,0.0,1.0,0.0,2174.0,0.0,40.0,0.0,0.0
518,41.0,0.0,177989.0,9.0,16.0,1.0,1.0,0.0,0.0,2051.0,60.0,0.0,0.0
19439,59.0,1.0,62020.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
13691,31.0,0.0,143851.0,2.0,12.0,1.0,1.0,1.0,0.0,0.0,40.0,0.0,1.0
3509,52.0,0.0,145409.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,48.0,0.0,0.0
1738,29.0,0.0,175639.0,3.0,10.0,3.0,1.0,1.0,0.0,0.0,28.0,0.0,0.0
38342,28.0,0.0,210945.0,2.0,12.0,1.0,0.0,1.0,0.0,0.0,35.0,10.0,0.0
2272,29.0,0.0,226941.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,55.0,0.0,0.0
43108,37.0,0.0,37778.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,54.0,0.0,0.0
14671,41.0,5.0,119721.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
48775,82.0,2.0,403910.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
27260,35.0,4.0,105138.0,5.0,15.0,1.0,1.0,0.0,0.0,0.0,55.0,0.0,0.0
40988,49.0,0.0,188515.0,3.0,10.0,3.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
7887,28.0,0.0,399123.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
46671,46.0,0.0,154405.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
13172,30.0,0.0,176862.0,11.0,11.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
39333,68.0,0.0,170376.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
34090,49.0,0.0,120629.0,7.0,13.0,3.0,0.0,1.0,27828.0,0.0,60.0,0.0,1.0
27062,58.0,3.0,203039.0,12.0,5.0,4.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
46446,33.0,0.0,122672.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0
18801,36.0,3.0,233533.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,60.0,0.0,1.0
13186,40.0,1.0,161475.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0,75.0,0.0,0.0
5903,32.0,0.0,129020.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
43825,23.0,0.0,228230.0,3.0,10.0,1.0,1.0,1.0,0.0,0.0,47.0,0.0,0.0
15262,50.0,6.0,262777.0,8.0,14.0,4.0,2.0,0.0,0.0,0.0,45.0,27.0,0.0
36779,28.0,0.0,115549.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0
7369,33.0,0.0,37646.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,60.0,0.0,0.0
4998,50.0,2.0,28765.0,8.0,14.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
13391,17.0,0.0,152710.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,0.0
43199,29.0,1.0,214385.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0
45866,46.0,5.0,178686.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,38.0,0.0,1.0
9695,38.0,6.0,298539.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0
8226,65.0,4.0,190160.0,3.0,10.0,2.0,1.0,0.0,0.0,1944.0,20.0,19.0,0.0
30381,28.0,0.0,292536.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0
10391,51.0,6.0,182211.0,3.0,10.0,3.0,1.0,1.0,0.0,0.0,70.0,0.0,0.0
15856,57.0,2.0,123632.0,7.0,13.0,0.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0
997,22.0,0.0,152328.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
16920,52.0,3.0,289436.0,9.0,16.0,1.0,1.0,0.0,0.0,0.0,60.0,0.0,1.0
32686,32.0,0.0,106742.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
23040,31.0,0.0,48588.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
26425,51.0,6.0,167793.0,7.0,13.0,1.0,1.0,0.0,15024.0,0.0,40.0,0.0,1.0
13055,20.0,0.0,230482.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
2758,47.0,0.0,70209.0,1.0,9.0,3.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
20024,29.0,0.0,31166.0,1.0,9.0,3.0,3.0,1.0,0.0,0.0,30.0,7.0,0.0
24161,52.0,0.0,127749.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,0.0
7146,52.0,0.0,227832.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0
14185,48.0,0.0,164984.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,1.0
10664,35.0,0.0,350169.0,1.0,9.0,3.0,1.0,1.0,0.0,0.0,38.0,16.0,0.0
19348,41.0,1.0,51111.0,7.0,13.0,2.0,1.0,1.0,0.0,0.0,40.0,0.0,0.0
32228,29.0,1.0,280344.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0
23135,43.0,0.0,199191.0,3.0,10.0,0.0,1.0,1.0,0.0,0.0,50.0,0.0,0.0
